seed,step
798,7
799,6
800,5
801,16
802,5
803,21
804,1
805,12
806,11
807,1
808,3
809,12
810,4
811,9
812,6
813,5
814,10
815,10
816,2
817,3
818,6
819,1
820,26
821,18
822,9
823,2
824,6
825,1
826,5
827,2
828,16
829,20
830,14
831,3
832,19
833,25
834,11
835,10
836,5
837,3
838,6
839,11
840,4
841,4
842,17
843,8
844,9
845,18
846,11
847,12
848,16
849,11
850,1
851,18
852,1
853,7
854,4
855,11
856,5
857,5
858,4
859,14
860,14
861,12
862,11
863,11
864,1
865,19
866,18
867,13
868,7
869,13
870,8
871,13
872,22
873,1
874,1
875,2
876,2
877,4
878,5
879,6
880,5
881,3
882,4
883,10
884,4
885,3
886,3
887,3
888,11
889,3
890,7
891,1
892,13
893,19
894,13
895,11
896,2
897,14
898,3
899,7
900,17
901,4
902,2
903,11
904,2
905,17
906,5
907,11
908,26
909,9
910,2
911,2
912,23
913,20
914,12
915,16
916,9
917,3
918,9
919,15
920,22
921,4
922,12
923,5
924,2
925,14
926,1
927,1
928,3
929,23
930,2
931,10
932,5
933,1
934,1
935,7
936,7
937,36
938,10
939,4
940,4
941,21
942,18
943,12
944,5
945,4
946,8
947,5
948,3
949,11
950,2
951,1
952,6
953,5
954,9
955,7
956,9
957,8
958,2
959,7
960,3
961,24
962,5
963,1
964,4
965,14
966,45
967,8
968,16
969,20
970,8
971,30
972,8
973,6
974,1
975,1
976,9
977,10
978,8
979,2
980,14
981,4
982,5
983,7
984,1
985,1
986,8
987,6
988,6
989,6
990,4
991,3
992,19
993,8
994,9
995,6
996,1
997,3
998,24
999,7
1000,2
1001,2
1002,2
1003,2
1004,7
1005,19
1006,18
1007,1
1008,10
1009,6
1010,13
1011,17
1012,14
1013,8
1014,13
1015,2
1016,1
1017,3
1018,14
1019,7
1020,5
1021,3
1022,9
1023,43
1024,2
1025,2
1026,8
1027,7
1028,16
1029,23
1030,5
1031,1
1032,12
1033,3
1034,10
1035,4
1036,12
1037,2
1038,5
1039,15
1040,2
1041,1
1042,3
1043,1
1044,12
1045,1
1046,11
1047,2
1048,3
1049,10
1050,7
1051,14
1052,1
1053,2
1054,3
1055,14
1056,6
1057,4
1058,28
1059,1
1060,18
1061,6
1062,3
1063,3
1064,7
1065,1
1066,1
1067,1
1068,9
1069,1
1070,22
1071,4
1072,4
1073,16
1074,3
1075,12
1076,3
1077,9
1078,3
1079,1
1080,10
1081,1
1082,9
1083,1
1084,3
1085,7
1086,1
1087,6
1088,1
1089,5
1090,5
1091,12
1092,17
1093,3
1094,8
1095,9
1096,5
1097,4
1098,22
1099,20
1100,9
1101,3
1102,1
1103,4
1104,2
1105,4
1106,3
1107,2
1108,9
1109,17
1110,11
1111,2
1112,3
1113,5
1114,10
1115,6
1116,1
1117,5
1118,24
1119,21
1120,3
1121,4
1122,1
1123,5
1124,17
1125,1
1126,8
1127,15
1128,6
1129,5
1130,17
1131,5
1132,3
1133,22
1134,5
1135,1
1136,12
1137,12
1138,2
1139,4
1140,2
1141,6
1142,27
1143,22
1144,17
1145,6
1146,13
1147,6
1148,12
1149,18
1150,4
1151,1
1152,13
1153,6
1154,6
1155,1
1156,16
1157,5
1158,1
1159,3
1160,11
1161,8
1162,8
1163,8
1164,10
1165,6
1166,3
1167,38
1168,4
1169,9
1170,3
1171,15
1172,5
1173,3
1174,1
1175,10
1176,6
1177,19
1178,2
1179,28
1180,34
1181,10
1182,13
1183,9
1184,4
1185,5
1186,24
1187,2
1188,4
1189,18
1190,2
1191,8
1192,1
1193,8
1194,5
1195,7
1196,22
1197,24
1198,3
1199,17
1200,5
1201,2
1202,16
1203,3
1204,12
1205,4
1206,4
1207,1
1208,6
1209,16
