seed,step,found
0,51,False
1,51,False
2,51,False
3,51,False
4,51,False
5,51,False
6,51,False
7,51,False
8,51,False
9,51,False
10,51,False
11,51,False
12,51,False
13,51,False
14,51,False
15,51,False
16,51,False
17,51,False
18,51,False
19,51,False
