seed,step
798,4
799,4
800,4
801,1
802,3
803,9
804,5
805,2
806,5
807,4
808,1
809,1
810,5
811,6
812,4
813,5
814,8
815,2
816,1
817,3
818,7
819,2
820,4
821,8
822,8
823,5
824,14
825,9
826,3
827,2
828,3
829,7
830,2
831,4
832,8
833,6
834,3
835,7
836,2
837,6
838,7
839,4
840,6
841,3
842,2
843,4
844,5
845,3
846,4
847,9
848,1
849,6
850,7
851,1
852,5
853,4
854,9
855,6
856,2
857,4
858,5
859,7
860,5
861,12
862,10
863,8
864,2
865,2
866,8
867,4
868,9
869,7
870,7
871,7
872,4
873,4
874,8
875,1
876,4
877,9
878,8
879,3
880,6
881,5
882,8
883,8
884,6
885,9
886,5
887,2
888,3
889,12
890,1
891,13
892,4
893,3
894,7
895,2
896,2
897,6
898,3
899,8
900,1
901,2
902,1
903,1
904,8
905,2
906,2
907,7
908,4
909,2
910,4
911,8
912,11
913,2
914,5
915,3
916,5
917,10
918,2
919,6
920,5
921,1
922,10
923,10
924,10
925,4
926,2
927,2
928,2
929,1
930,9
931,7
932,5
933,8
934,2
935,3
936,7
937,4
938,5
939,4
940,5
941,3
942,3
943,11
944,4
945,5
946,5
947,1
948,6
949,7
950,8
951,7
952,4
953,13
954,4
955,1
956,8
957,5
958,10
959,4
960,8
961,4
962,8
963,4
964,10
965,1
966,7
967,12
968,6
969,5
970,4
971,8
972,9
973,5
974,1
975,2
976,4
977,4
978,10
979,5
980,8
981,13
982,5
983,2
984,9
985,4
986,3
987,6
988,3
989,5
990,5
991,5
992,4
993,4
994,7
995,5
996,8
997,3
998,2
999,9
