seed,step
798,8
799,2
800,6
801,16
802,4
803,16
804,1
805,6
806,25
807,12
808,20
809,8
810,14
811,3
812,1
813,8
814,4
815,13
816,7
817,20
818,2
819,26
820,16
821,5
822,2
823,6
824,1
825,11
826,1
827,15
828,3
829,11
830,7
831,13
832,6
833,14
834,6
835,4
836,2
837,10
838,22
839,6
840,8
841,11
842,6
843,4
844,1
845,11
846,3
847,5
848,3
849,3
850,4
851,2
852,8
853,12
854,10
855,3
856,1
857,1
858,8
859,13
860,10
861,6
862,11
863,23
864,1
865,16
866,5
867,8
868,13
869,11
870,4
871,1
872,1
873,11
874,6
875,2
876,14
877,8
878,7
879,6
880,21
881,3
882,13
883,15
884,26
885,24
886,8
887,2
888,11
889,1
890,14
891,10
892,5
893,4
894,17
895,29
896,2
897,1
898,5
899,13
900,6
901,10
902,4
903,14
904,21
905,20
906,11
907,1
908,3
909,8
910,10
911,9
912,21
913,7
914,6
915,18
916,2
917,7
918,9
919,2
920,3
921,4
922,24
923,10
924,10
925,5
926,20
927,1
928,5
929,4
930,2
931,19
932,1
933,1
934,1
935,14
936,3
937,8
938,9
939,1
940,2
941,1
942,10
943,5
944,22
945,33
946,8
947,9
948,2
949,6
950,10
951,5
952,9
953,20
954,18
955,2
956,37
957,3
958,6
959,2
960,11
961,14
962,17
963,15
964,2
965,7
966,2
967,5
968,6
969,1
970,26
971,4
972,23
973,21
974,3
975,10
976,1
977,1
978,1
979,4
980,1
981,2
982,9
983,3
984,11
985,5
986,1
987,1
988,4
989,8
990,4
991,15
992,8
993,2
994,9
995,8
996,14
997,9
998,12
999,3
