material_system,plot_x_hr,has_blue_marker,overpotential_corrected_avg
NiTaPdOx,431.5,False,0.4917900374304243
NiTaPdOx,443.5,False,0.4960166333929321
NiTaPdOx,455.5,False,0.4972965890417543
NiTaPdOx,467.5,False,0.5022451594877119
NiTaPdOx,479.5,False,0.5018012380501823
NiTaPdOx,491.5,False,0.5162405191490518
NiTaPdOx,503.5,False,0.5165368636722271
NiTaPdOx,515.5,False,0.5283413674803839
NiTaPdOx,527.5,False,0.5415424580858187
NiTaPdOx,539.5,False,0.5539709428144463
NiTaPdOx,551.5,False,0.576802001825416
NiTaPdOx,563.5,False,0.6272416140883643
NiTaPdOx,575.3672222222223,False,0.6747352120879991
PdOx,11.5,False,0.4598799979923865
PdOx,23.5,False,0.4644142699377589
PdOx,35.5,False,0.468675377649166
PdOx,47.5,False,0.4696423893709653
PdOx,59.5,False,0.4753502744467166
PdOx,71.5,False,0.4720126437458651
PdOx,83.5,False,0.4838531309548716
PdOx,95.5,False,0.4875496528698561
PdOx,107.5,False,0.4846688466012333
PdOx,119.5,False,0.4798177735894173
PdOx,131.5,False,0.4939748654384783
PdOx,143.5,False,0.4911438231321812
PdOx,155.5,False,0.4972602553426882
PdOx,167.5,False,0.4951036408980854
PdOx,179.5,False,0.5008711910583887
PdOx,191.5,False,0.5020655730377912
PdOx,203.5,False,0.5067758444818962
PdOx,215.5,False,0.5075808283528817
PdOx,227.5,True,0.5098334568544429
PdOx,239.5,False,0.5019227425617799
PdOx,251.5,False,0.5185418695132638
PdOx,263.5,False,0.5217483950711028
PdOx,275.5,False,0.5220392595606135
PdOx,287.5,False,0.5265712154404935
PdOx,299.5,False,0.5256315561502127
PdOx,311.5,False,0.5291715380083761
PdOx,323.5,False,0.5287952185658713
PdOx,335.5,True,0.5026367560750535
PdOx,347.5,False,0.5296611337732058
PdOx,359.5,False,0.5316188308551321
PdOx,371.5,False,0.5336825274980068
PdOx,383.5,False,0.5357073688104451
PdOx,395.5,False,0.532429465314205
PdOx,407.5,False,0.5356521331546793
PdOx,419.5,False,0.5378312040297597
PdOx,431.5,False,0.5399339186063657
PdOx,443.5,False,0.5403175637443028
PdOx,455.5,False,0.543347865342521
PdOx,467.5,False,0.5427991150854521
PdOx,479.5,False,0.5458059778627892
PdOx,491.5,False,0.5464256403307989
PdOx,503.5,False,0.5515055447983211
PdOx,515.5,False,0.5554621337417756
PdOx,527.5,False,0.5556129182719521
PdOx,539.5,False,0.5573803268760495
PdOx,551.5,False,0.5601908734453704
PdOx,563.5,False,0.5572750996872273
PdOx,575.5,False,0.5561189814286436
PdOx,587.5,False,0.5559105638178055
PdOx,599.5,False,0.5586453342515906
PdOx,611.5,False,0.5588588408074288
PdOx,623.5,False,0.5639866468355385
PdOx,635.5,False,0.5628845156209991
PdOx,647.5,False,0.5665947886992007
PdOx,659.5,False,0.5648436187505222
PdOx,671.5,False,0.5695285001096427
PdOx,683.5,False,0.5683618412440882
PdOx,695.5,False,0.5704598190964765
PdOx,707.5,False,0.5706634344841132
PdOx,719.5,False,0.5735432297514889
PdOx,731.5,False,0.5713201064312513
PdOx,743.5,False,0.5757198212417182
PdOx,755.5,False,0.5755169092163737
PdOx,767.5,False,0.5806207267339955
PdOx,779.5,False,0.5801039403478702
PdOx,791.5,False,0.5886716014775805
PdOx,803.5,False,0.5890215430570624
PdOx,815.5,False,0.5995884738535024
PdOx,827.5,False,0.6021023313437152
RuOx,11.5,False,0.3684583229811791
RuOx,23.5,False,0.373437294263175
RuOx,35.5,False,0.3817618038818519
RuOx,47.5,False,0.3845568864384559
