sample,two_theta,intensity
InMnPdOx_post,51.3,2.26
InMnPdOx_post,51.31,2.16
InMnPdOx_post,51.32,2.157
InMnPdOx_post,51.33,2.217
InMnPdOx_post,51.34,2.239
InMnPdOx_post,51.35,2.283
InMnPdOx_post,51.36,2.319
InMnPdOx_post,51.37,2.326
InMnPdOx_post,51.38,2.186
InMnPdOx_post,51.39,2.12
InMnPdOx_post,51.4,2.132
InMnPdOx_post,51.41,2.205
InMnPdOx_post,51.42,2.259
InMnPdOx_post,51.43,2.285
InMnPdOx_post,51.44,2.239
InMnPdOx_post,51.45,2.218
InMnPdOx_post,51.46,2.182
InMnPdOx_post,51.47,2.178
InMnPdOx_post,51.48,2.153
InMnPdOx_post,51.49,2.211
InMnPdOx_post,51.5,2.177
InMnPdOx_post,51.51,2.163
InMnPdOx_post,51.52,2.137
InMnPdOx_post,51.53,2.232
InMnPdOx_post,51.54,2.282
InMnPdOx_post,51.55,2.3
InMnPdOx_post,51.56,2.274
InMnPdOx_post,51.57,2.293
InMnPdOx_post,51.58,2.248
InMnPdOx_post,51.59,2.202
InMnPdOx_post,51.6,2.204
InMnPdOx_post,51.61,2.307
InMnPdOx_post,51.62,2.303
InMnPdOx_post,51.63,2.247
InMnPdOx_post,51.64,2.221
InMnPdOx_post,51.65,2.233
InMnPdOx_post,51.66,2.248
InMnPdOx_post,51.67,2.238
InMnPdOx_post,51.68,2.256
InMnPdOx_post,51.69,2.215
InMnPdOx_post,51.7,2.223
InMnPdOx_post,51.71,2.232
InMnPdOx_post,51.72,2.285
InMnPdOx_post,51.73,2.273
InMnPdOx_post,51.74,2.209
InMnPdOx_post,51.75,2.169
InMnPdOx_post,51.76,2.171
InMnPdOx_post,51.77,2.21
InMnPdOx_post,51.78,2.268
InMnPdOx_post,51.79,2.274
InMnPdOx_post,51.8,2.238
InMnPdOx_post,51.81,2.153
InMnPdOx_post,51.82,2.178
InMnPdOx_post,51.83,2.182
InMnPdOx_post,51.84,2.218
InMnPdOx_post,51.85,2.176
InMnPdOx_post,51.86,2.151
InMnPdOx_post,51.87,2.1
InMnPdOx_post,51.88,2.168
InMnPdOx_post,51.89,2.249
InMnPdOx_post,51.9,2.235
InMnPdOx_post,51.91,2.246
InMnPdOx_post,51.92,2.21
InMnPdOx_post,51.93,2.134
InMnPdOx_post,51.94,2.091
InMnPdOx_post,51.95,2.124
InMnPdOx_post,51.96,2.271
InMnPdOx_post,51.97,2.289
InMnPdOx_post,51.98,2.256
InMnPdOx_post,51.99,2.174
InMnPdOx_post,52.0,2.155
InMnPdOx_post,52.01,2.166
InMnPdOx_post,52.02,2.238
InMnPdOx_post,52.03,2.223
InMnPdOx_post,52.04,2.142
InMnPdOx_post,52.05,2.037
InMnPdOx_post,52.06,2.124
InMnPdOx_post,52.07,2.102
InMnPdOx_post,52.08,2.14
InMnPdOx_post,52.09,2.102
InMnPdOx_post,52.1,2.093
InMnPdOx_post,52.11,2.067
InMnPdOx_post,52.12,2.083
InMnPdOx_post,52.13,2.204
InMnPdOx_post,52.14,2.28
InMnPdOx_post,52.15,2.335
InMnPdOx_post,52.16,2.264
InMnPdOx_post,52.17,2.223
InMnPdOx_post,52.18,2.209
InMnPdOx_post,52.19,2.245
InMnPdOx_post,52.2,2.219
InMnPdOx_post,52.21,2.142
InMnPdOx_post,52.22,2.08
InMnPdOx_post,52.23,2.11
InMnPdOx_post,52.24,2.161
InMnPdOx_post,52.25,2.195
InMnPdOx_post,52.26,2.185
InMnPdOx_post,52.27,2.231
InMnPdOx_post,52.28,2.186
InMnPdOx_post,52.29,2.231
InMnPdOx_post,52.3,2.23
InMnPdOx_post,52.31,2.238
InMnPdOx_post,52.32,2.19
InMnPdOx_post,52.33,2.195
InMnPdOx_post,52.34,2.284
InMnPdOx_post,52.35,2.311
InMnPdOx_post,52.36,2.334
InMnPdOx_post,52.37,2.332
InMnPdOx_post,52.38,2.37
InMnPdOx_post,52.39,2.356
InMnPdOx_post,52.4,2.297
InMnPdOx_post,52.41,2.22
InMnPdOx_post,52.42,2.139
InMnPdOx_post,52.43,2.137
InMnPdOx_post,52.44,2.222
InMnPdOx_post,52.45,2.348
InMnPdOx_post,52.46,2.37
InMnPdOx_post,52.47,2.294
InMnPdOx_post,52.48,2.17
InMnPdOx_post,52.49,2.176
InMnPdOx_post,52.5,2.18
InMnPdOx_post,52.51,2.249
InMnPdOx_post,52.52,2.235
InMnPdOx_post,52.53,2.231
InMnPdOx_post,52.54,2.16
InMnPdOx_post,52.55,2.146
InMnPdOx_post,52.56,2.138
InMnPdOx_post,52.57,2.15
InMnPdOx_post,52.58,2.162
InMnPdOx_post,52.59,2.191
InMnPdOx_post,52.6,2.176
InMnPdOx_post,52.61,2.143
InMnPdOx_post,52.62,2.102
InMnPdOx_post,52.63,2.122
InMnPdOx_post,52.64,2.247
InMnPdOx_post,52.65,2.289
InMnPdOx_post,52.66,2.239
InMnPdOx_post,52.67,2.167
InMnPdOx_post,52.68,2.142
InMnPdOx_post,52.69,2.168
InMnPdOx_post,52.7,2.218
InMnPdOx_post,52.71,2.236
InMnPdOx_post,52.72,2.22
InMnPdOx_post,52.73,2.175
InMnPdOx_post,52.74,2.204
InMnPdOx_post,52.75,2.22
InMnPdOx_post,52.76,2.197
InMnPdOx_post,52.77,2.167
InMnPdOx_post,52.78,2.119
InMnPdOx_post,52.79,2.15
InMnPdOx_post,52.8,2.161
InMnPdOx_post,52.81,2.125
InMnPdOx_post,52.82,2.088
InMnPdOx_post,52.83,2.083
InMnPdOx_post,52.84,2.114
InMnPdOx_post,52.85,2.14
InMnPdOx_post,52.86,2.108
InMnPdOx_post,52.87,2.129
InMnPdOx_post,52.88,2.147
InMnPdOx_post,52.89,2.254
InMnPdOx_post,52.9,2.185
InMnPdOx_post,52.91,2.089
InMnPdOx_post,52.92,2.094
InMnPdOx_post,52.93,2.161
InMnPdOx_post,52.94,2.184
InMnPdOx_post,52.95,2.207
InMnPdOx_post,52.96,2.287
InMnPdOx_post,52.97,2.356
InMnPdOx_post,52.98,2.256
InMnPdOx_post,52.99,2.163
InMnPdOx_post,53.0,2.114
InMnPdOx_post,53.01,2.156
InMnPdOx_post,53.02,2.21
InMnPdOx_post,53.03,2.262
InMnPdOx_post,53.04,2.186
InMnPdOx_post,53.05,2.114
InMnPdOx_post,53.06,2.048
InMnPdOx_post,53.07,2.102
InMnPdOx_post,53.08,2.16
InMnPdOx_post,53.09,2.271
InMnPdOx_post,53.1,2.276
InMnPdOx_post,53.11,2.189
InMnPdOx_post,53.12,2.172
InMnPdOx_post,53.13,2.16
InMnPdOx_post,53.14,2.274
InMnPdOx_post,53.15,2.226
InMnPdOx_post,53.16,2.286
InMnPdOx_post,53.17,2.173
InMnPdOx_post,53.18,2.114
InMnPdOx_post,53.19,2.15
InMnPdOx_post,53.2,2.243
InMnPdOx_post,53.21,2.201
InMnPdOx_post,53.22,2.109
InMnPdOx_post,53.23,2.103
InMnPdOx_post,53.24,2.193
InMnPdOx_post,53.25,2.226
InMnPdOx_post,53.26,2.183
InMnPdOx_post,53.27,2.223
InMnPdOx_post,53.28,2.255
InMnPdOx_post,53.29,2.301
InMnPdOx_post,53.3,2.31
InMnPdOx_post,53.31,2.329
InMnPdOx_post,53.32,2.298
InMnPdOx_post,53.33,2.24
InMnPdOx_post,53.34,2.221
InMnPdOx_post,53.35,2.231
InMnPdOx_post,53.36,2.182
InMnPdOx_post,53.37,2.191
InMnPdOx_post,53.38,2.253
InMnPdOx_post,53.39,2.332
InMnPdOx_post,53.4,2.256
InMnPdOx_post,53.41,2.266
InMnPdOx_post,53.42,2.304
InMnPdOx_post,53.43,2.342
InMnPdOx_post,53.44,2.286
InMnPdOx_post,53.45,2.268
InMnPdOx_post,53.46,2.196
InMnPdOx_post,53.47,2.115
InMnPdOx_post,53.48,2.1
InMnPdOx_post,53.49,2.199
InMnPdOx_post,53.5,2.218
InMnPdOx_post,53.51,2.25
InMnPdOx_post,53.52,2.174
InMnPdOx_post,53.53,2.256
InMnPdOx_post,53.54,2.19
InMnPdOx_post,53.55,2.298
InMnPdOx_post,53.56,2.233
InMnPdOx_post,53.57,2.246
InMnPdOx_post,53.58,2.217
InMnPdOx_post,53.59,2.23
InMnPdOx_post,53.6,2.18
InMnPdOx_post,53.61,2.17
InMnPdOx_post,53.62,2.225
InMnPdOx_post,53.63,2.308
InMnPdOx_post,53.64,2.381
InMnPdOx_post,53.65,2.346
InMnPdOx_post,53.66,2.349
InMnPdOx_post,53.67,2.271
InMnPdOx_post,53.68,2.267
InMnPdOx_post,53.69,2.313
InMnPdOx_post,53.7,2.347
InMnPdOx_post,53.71,2.285
InMnPdOx_post,53.72,2.25
InMnPdOx_post,53.73,2.304
InMnPdOx_post,53.74,2.331
InMnPdOx_post,53.75,2.349
InMnPdOx_post,53.76,2.419
InMnPdOx_post,53.77,2.52
InMnPdOx_post,53.78,2.477
InMnPdOx_post,53.79,2.398
InMnPdOx_post,53.8,2.383
InMnPdOx_post,53.81,2.35
InMnPdOx_post,53.82,2.329
InMnPdOx_post,53.83,2.368
InMnPdOx_post,53.84,2.399
InMnPdOx_post,53.85,2.437
InMnPdOx_post,53.86,2.428
InMnPdOx_post,53.87,2.401
InMnPdOx_post,53.88,2.392
InMnPdOx_post,53.89,2.402
InMnPdOx_post,53.9,2.376
InMnPdOx_post,53.91,2.294
InMnPdOx_post,53.92,2.246
InMnPdOx_post,53.93,2.303
InMnPdOx_post,53.94,2.323
InMnPdOx_post,53.95,2.38
InMnPdOx_post,53.96,2.408
InMnPdOx_post,53.97,2.488
InMnPdOx_post,53.98,2.445
InMnPdOx_post,53.99,2.407
InMnPdOx_post,54.0,2.283
InMnPdOx_post,54.01,2.283
InMnPdOx_post,54.02,2.281
InMnPdOx_post,54.03,2.311
InMnPdOx_post,54.04,2.331
InMnPdOx_post,54.05,2.316
InMnPdOx_post,54.06,2.349
InMnPdOx_post,54.07,2.387
InMnPdOx_post,54.08,2.484
InMnPdOx_post,54.09,2.51
InMnPdOx_post,54.1,2.503
InMnPdOx_post,54.11,2.513
InMnPdOx_post,54.12,2.52
InMnPdOx_post,54.13,2.452
InMnPdOx_post,54.14,2.375
InMnPdOx_post,54.15,2.327
InMnPdOx_post,54.16,2.387
InMnPdOx_post,54.17,2.392
InMnPdOx_post,54.18,2.348
InMnPdOx_post,54.19,2.357
InMnPdOx_post,54.2,2.433
InMnPdOx_post,54.21,2.464
InMnPdOx_post,54.22,2.423
InMnPdOx_post,54.23,2.513
InMnPdOx_post,54.24,2.604
InMnPdOx_post,54.25,2.618
InMnPdOx_post,54.26,2.589
InMnPdOx_post,54.27,2.512
InMnPdOx_post,54.28,2.469
InMnPdOx_post,54.29,2.381
InMnPdOx_post,54.3,2.463
InMnPdOx_post,54.31,2.543
InMnPdOx_post,54.32,2.601
InMnPdOx_post,54.33,2.628
InMnPdOx_post,54.34,2.564
InMnPdOx_post,54.35,2.573
InMnPdOx_post,54.36,2.485
InMnPdOx_post,54.37,2.52
InMnPdOx_post,54.38,2.478
InMnPdOx_post,54.39,2.515
InMnPdOx_post,54.4,2.499
InMnPdOx_post,54.41,2.524
InMnPdOx_post,54.42,2.53
InMnPdOx_post,54.43,2.543
InMnPdOx_post,54.44,2.568
InMnPdOx_post,54.45,2.561
InMnPdOx_post,54.46,2.579
InMnPdOx_post,54.47,2.502
InMnPdOx_post,54.48,2.601
InMnPdOx_post,54.49,2.582
InMnPdOx_post,54.5,2.643
InMnPdOx_post,54.51,2.578
InMnPdOx_post,54.52,2.706
InMnPdOx_post,54.53,2.68
InMnPdOx_post,54.54,2.682
InMnPdOx_post,54.55,2.587
InMnPdOx_post,54.56,2.673
InMnPdOx_post,54.57,2.667
InMnPdOx_post,54.58,2.729
InMnPdOx_post,54.59,2.742
InMnPdOx_post,54.6,2.716
InMnPdOx_post,54.61,2.709
InMnPdOx_post,54.62,2.71
InMnPdOx_post,54.63,2.728
InMnPdOx_post,54.64,2.66
InMnPdOx_post,54.65,2.595
InMnPdOx_post,54.66,2.632
InMnPdOx_post,54.67,2.658
InMnPdOx_post,54.68,2.669
InMnPdOx_post,54.69,2.714
InMnPdOx_post,54.7,2.714
InMnPdOx_post,54.71,2.69
InMnPdOx_post,54.72,2.614
InMnPdOx_post,54.73,2.581
InMnPdOx_post,54.74,2.672
InMnPdOx_post,54.75,2.75
InMnPdOx_post,54.76,2.804
InMnPdOx_post,54.77,2.833
InMnPdOx_post,54.78,2.849
InMnPdOx_post,54.79,2.921
InMnPdOx_post,54.8,2.982
InMnPdOx_post,54.81,2.922
InMnPdOx_post,54.82,2.806
InMnPdOx_post,54.83,2.719
InMnPdOx_post,54.84,2.765
InMnPdOx_post,54.85,2.798
InMnPdOx_post,54.86,2.731
InMnPdOx_post,54.87,2.743
InMnPdOx_post,54.88,2.808
InMnPdOx_post,54.89,2.938
InMnPdOx_post,54.9,3.018
InMnPdOx_post,54.91,2.965
InMnPdOx_post,54.92,2.847
InMnPdOx_post,54.93,2.836
InMnPdOx_post,54.94,2.874
InMnPdOx_post,54.95,2.976
InMnPdOx_post,54.96,2.937
InMnPdOx_post,54.97,2.936
InMnPdOx_post,54.98,2.91
InMnPdOx_post,54.99,2.911
InMnPdOx_post,55.0,2.974
InMnPdOx_post,55.01,2.916
InMnPdOx_post,55.02,2.907
InMnPdOx_post,55.03,2.809
InMnPdOx_post,55.04,2.854
InMnPdOx_post,55.05,2.855
InMnPdOx_post,55.06,2.925
InMnPdOx_post,55.07,2.895
InMnPdOx_post,55.08,2.828
InMnPdOx_post,55.09,2.864
InMnPdOx_post,55.1,2.951
InMnPdOx_post,55.11,3.03
InMnPdOx_post,55.12,2.899
InMnPdOx_post,55.13,2.888
InMnPdOx_post,55.14,2.964
InMnPdOx_post,55.15,3.018
InMnPdOx_post,55.16,3.025
InMnPdOx_post,55.17,2.964
InMnPdOx_post,55.18,2.989
InMnPdOx_post,55.19,2.961
InMnPdOx_post,55.2,3.019
InMnPdOx_post,55.21,2.988
InMnPdOx_post,55.22,2.901
InMnPdOx_post,55.23,2.786
InMnPdOx_post,55.24,2.784
InMnPdOx_post,55.25,2.844
InMnPdOx_post,55.26,2.807
InMnPdOx_post,55.27,2.892
InMnPdOx_post,55.28,2.916
InMnPdOx_post,55.29,3.1
InMnPdOx_post,55.3,3.051
InMnPdOx_post,55.31,2.986
InMnPdOx_post,55.32,2.895
InMnPdOx_post,55.33,2.835
InMnPdOx_post,55.34,2.838
InMnPdOx_post,55.35,2.776
InMnPdOx_post,55.36,2.892
InMnPdOx_post,55.37,2.895
InMnPdOx_post,55.38,2.971
InMnPdOx_post,55.39,2.899
InMnPdOx_post,55.4,2.758
InMnPdOx_post,55.41,2.689
InMnPdOx_post,55.42,2.748
InMnPdOx_post,55.43,2.872
InMnPdOx_post,55.44,2.883
InMnPdOx_post,55.45,2.89
InMnPdOx_post,55.46,2.912
InMnPdOx_post,55.47,2.907
InMnPdOx_post,55.48,2.889
InMnPdOx_post,55.49,2.851
InMnPdOx_post,55.5,2.864
InMnPdOx_post,55.51,2.931
InMnPdOx_post,55.52,2.873
InMnPdOx_post,55.53,2.889
InMnPdOx_post,55.54,2.827
InMnPdOx_post,55.55,2.917
InMnPdOx_post,55.56,2.809
InMnPdOx_post,55.57,2.791
InMnPdOx_post,55.58,2.716
InMnPdOx_post,55.59,2.773
InMnPdOx_post,55.6,2.797
InMnPdOx_post,55.61,2.841
InMnPdOx_post,55.62,2.836
InMnPdOx_post,55.63,2.837
InMnPdOx_post,55.64,2.825
InMnPdOx_post,55.65,2.749
InMnPdOx_post,55.66,2.712
InMnPdOx_post,55.67,2.689
InMnPdOx_post,55.68,2.69
InMnPdOx_post,55.69,2.704
InMnPdOx_post,55.7,2.704
InMnPdOx_post,55.71,2.683
InMnPdOx_post,55.72,2.604
InMnPdOx_post,55.73,2.617
InMnPdOx_post,55.74,2.687
InMnPdOx_post,55.75,2.781
InMnPdOx_post,55.76,2.766
InMnPdOx_post,55.77,2.628
InMnPdOx_post,55.78,2.592
InMnPdOx_post,55.79,2.633
InMnPdOx_post,55.8,2.688
InMnPdOx_post,55.81,2.68
InMnPdOx_post,55.82,2.587
InMnPdOx_post,55.83,2.566
InMnPdOx_post,55.84,2.576
InMnPdOx_post,55.85,2.591
InMnPdOx_post,55.86,2.518
InMnPdOx_post,55.87,2.492
InMnPdOx_post,55.88,2.46
InMnPdOx_post,55.89,2.501
InMnPdOx_post,55.9,2.488
InMnPdOx_post,55.91,2.457
InMnPdOx_post,55.92,2.413
InMnPdOx_post,55.93,2.349
InMnPdOx_post,55.94,2.355
InMnPdOx_post,55.95,2.33
InMnPdOx_post,55.96,2.393
InMnPdOx_post,55.97,2.492
InMnPdOx_post,55.98,2.557
InMnPdOx_post,55.99,2.462
InMnPdOx_post,56.0,2.415
InMnPdOx_post,56.01,2.436
InMnPdOx_post,56.02,2.506
InMnPdOx_post,56.03,2.554
InMnPdOx_post,56.04,2.57
InMnPdOx_post,56.05,2.52
InMnPdOx_post,56.06,2.406
InMnPdOx_post,56.07,2.327
InMnPdOx_post,56.08,2.294
InMnPdOx_post,56.09,2.365
InMnPdOx_post,56.1,2.377
InMnPdOx_post,56.11,2.328
InMnPdOx_post,56.12,2.274
InMnPdOx_post,56.13,2.341
InMnPdOx_post,56.14,2.337
InMnPdOx_post,56.15,2.28
InMnPdOx_post,56.16,2.25
InMnPdOx_post,56.17,2.331
InMnPdOx_post,56.18,2.408
InMnPdOx_post,56.19,2.429
InMnPdOx_post,56.2,2.424
InMnPdOx_post,56.21,2.39
InMnPdOx_post,56.22,2.333
InMnPdOx_post,56.23,2.271
InMnPdOx_post,56.24,2.309
InMnPdOx_post,56.25,2.32
InMnPdOx_post,56.26,2.303
InMnPdOx_post,56.27,2.202
InMnPdOx_post,56.28,2.256
InMnPdOx_post,56.29,2.315
InMnPdOx_post,56.3,2.329
InMnPdOx_post,56.31,2.282
InMnPdOx_post,56.32,2.223
InMnPdOx_post,56.33,2.141
InMnPdOx_post,56.34,2.164
InMnPdOx_post,56.35,2.277
InMnPdOx_post,56.36,2.27
InMnPdOx_post,56.37,2.192
InMnPdOx_post,56.38,2.105
InMnPdOx_post,56.39,2.17
InMnPdOx_post,56.4,2.202
InMnPdOx_post,56.41,2.229
InMnPdOx_post,56.42,2.234
InMnPdOx_post,56.43,2.248
InMnPdOx_post,56.44,2.239
InMnPdOx_post,56.45,2.205
InMnPdOx_post,56.46,2.123
InMnPdOx_post,56.47,2.131
InMnPdOx_post,56.48,2.114
InMnPdOx_post,56.49,2.157
InMnPdOx_post,56.5,2.143
InMnPdOx_post,56.51,2.235
InMnPdOx_post,56.52,2.246
InMnPdOx_post,56.53,2.283
InMnPdOx_post,56.54,2.249
InMnPdOx_post,56.55,2.269
InMnPdOx_post,56.56,2.208
InMnPdOx_post,56.57,2.116
InMnPdOx_post,56.58,2.104
InMnPdOx_post,56.59,2.141
InMnPdOx_post,56.6,2.221
InMnPdOx_post,56.61,2.151
InMnPdOx_post,56.62,2.131
InMnPdOx_post,56.63,2.114
InMnPdOx_post,56.64,2.155
InMnPdOx_post,56.65,2.114
InMnPdOx_post,56.66,2.065
InMnPdOx_post,56.67,2.151
InMnPdOx_post,56.68,2.181
InMnPdOx_post,56.69,2.113
InMnPdOx_post,56.7,2.086
InMnPdOx_post,56.71,2.152
InMnPdOx_post,56.72,2.228
InMnPdOx_post,56.73,2.194
InMnPdOx_post,56.74,2.092
InMnPdOx_post,56.75,2.102
InMnPdOx_post,56.76,2.085
InMnPdOx_post,56.77,2.099
InMnPdOx_post,56.78,2.086
InMnPdOx_post,56.79,2.112
InMnPdOx_post,56.8,2.126
InMnPdOx_post,56.81,2.08
InMnPdOx_post,56.82,2.176
InMnPdOx_post,56.83,2.278
InMnPdOx_post,56.84,2.32
InMnPdOx_post,56.85,2.191
InMnPdOx_post,56.86,2.099
InMnPdOx_post,56.87,2.043
InMnPdOx_post,56.88,2.09
InMnPdOx_post,56.89,2.111
InMnPdOx_post,56.9,2.126
InMnPdOx_post,56.91,2.032
InMnPdOx_post,56.92,2.023
InMnPdOx_post,56.93,2.105
InMnPdOx_post,56.94,2.121
InMnPdOx_post,56.95,2.121
InMnPdOx_post,56.96,2.115
InMnPdOx_post,56.97,2.095
InMnPdOx_post,56.98,2.048
InMnPdOx_post,56.99,2.046
InMnPdOx_post,57.0,2.064
InMnPdOx_post,57.01,2.147
InMnPdOx_post,57.02,2.097
InMnPdOx_post,57.03,2.085
InMnPdOx_post,57.04,2.035
InMnPdOx_post,57.05,2.143
InMnPdOx_post,57.06,2.101
InMnPdOx_post,57.07,2.088
InMnPdOx_post,57.08,2.016
InMnPdOx_post,57.09,2.128
InMnPdOx_post,57.1,2.221
InMnPdOx_post,57.11,2.223
InMnPdOx_post,57.12,2.158
InMnPdOx_post,57.13,2.1
InMnPdOx_post,57.14,2.079
InMnPdOx_post,57.15,2.017
InMnPdOx_post,57.16,1.964
InMnPdOx_post,57.17,2.021
InMnPdOx_post,57.18,2.092
InMnPdOx_post,57.19,2.121
InMnPdOx_post,57.2,2.153
InMnPdOx_post,57.21,2.116
InMnPdOx_post,57.22,2.122
InMnPdOx_post,57.23,2.174
InMnPdOx_post,57.24,2.213
InMnPdOx_post,57.25,2.129
InMnPdOx_post,57.26,2.074
InMnPdOx_post,57.27,2.059
InMnPdOx_post,57.28,2.15
InMnPdOx_post,57.29,2.108
InMnPdOx_post,57.3,2.079
InMnPdOx_post,57.31,2.022
InMnPdOx_post,57.32,1.972
InMnPdOx_post,57.33,1.974
InMnPdOx_post,57.34,2.018
InMnPdOx_post,57.35,2.111
InMnPdOx_post,57.36,2.037
InMnPdOx_post,57.37,1.927
InMnPdOx_post,57.38,1.936
InMnPdOx_post,57.39,2.129
InMnPdOx_post,57.4,2.242
InMnPdOx_post,57.41,2.161
InMnPdOx_post,57.42,1.966
InMnPdOx_post,57.43,1.96
InMnPdOx_post,57.44,2.042
InMnPdOx_post,57.45,2.206
InMnPdOx_post,57.46,2.172
InMnPdOx_post,57.47,2.13
InMnPdOx_post,57.48,2.047
InMnPdOx_post,57.49,2.038
InMnPdOx_post,57.5,1.997
InMnPdOx_post,57.51,2.018
InMnPdOx_post,57.52,2.035
InMnPdOx_post,57.53,2.056
InMnPdOx_post,57.54,2.033
InMnPdOx_post,57.55,2.059
InMnPdOx_post,57.56,2.064
InMnPdOx_post,57.57,2.13
InMnPdOx_post,57.58,2.191
InMnPdOx_post,57.59,2.197
InMnPdOx_post,57.6,2.211
InMnPdOx_post,57.61,2.207
InMnPdOx_post,57.62,2.184
InMnPdOx_post,57.63,2.103
InMnPdOx_post,57.64,2.087
InMnPdOx_post,57.65,2.043
InMnPdOx_post,57.66,2.114
InMnPdOx_post,57.67,2.073
InMnPdOx_post,57.68,2.083
InMnPdOx_post,57.69,2.07
InMnPdOx_post,57.7,2.12
InMnPdOx_post,57.71,2.11
InMnPdOx_post,57.72,2.107
InMnPdOx_post,57.73,2.046
InMnPdOx_post,57.74,2.041
InMnPdOx_post,57.75,1.936
InMnPdOx_post,57.76,1.933
InMnPdOx_post,57.77,2.02
InMnPdOx_post,57.78,2.166
InMnPdOx_post,57.79,2.207
InMnPdOx_post,57.8,2.163
InMnPdOx_post,57.81,2.114
InMnPdOx_post,57.82,2.111
InMnPdOx_post,57.83,2.122
InMnPdOx_post,57.84,2.1
InMnPdOx_post,57.85,2.021
InMnPdOx_post,57.86,1.981
InMnPdOx_post,57.87,1.998
InMnPdOx_post,57.88,2.082
InMnPdOx_post,57.89,2.139
InMnPdOx_post,57.9,2.168
InMnPdOx_post,57.91,2.197
InMnPdOx_post,57.92,2.078
InMnPdOx_post,57.93,2.045
InMnPdOx_post,57.94,2.085
InMnPdOx_post,57.95,2.132
InMnPdOx_post,57.96,2.108
InMnPdOx_post,57.97,2.169
InMnPdOx_post,57.98,2.158
InMnPdOx_post,57.99,2.097
InMnPdOx_post,58.0,2.1
InMnPdOx_post,58.01,2.16
InMnPdOx_post,58.02,2.202
InMnPdOx_post,58.03,2.282
InMnPdOx_post,58.04,2.224
InMnPdOx_post,58.05,2.112
InMnPdOx_post,58.06,2.015
InMnPdOx_post,58.07,2.062
InMnPdOx_post,58.08,2.081
InMnPdOx_post,58.09,2.118
InMnPdOx_post,58.1,2.059
InMnPdOx_post,58.11,2.059
InMnPdOx_post,58.12,2.054
InMnPdOx_post,58.13,2.074
InMnPdOx_post,58.14,2.116
InMnPdOx_post,58.15,2.132
InMnPdOx_post,58.16,2.102
InMnPdOx_post,58.17,2.062
InMnPdOx_post,58.18,2.109
InMnPdOx_post,58.19,2.163
InMnPdOx_post,58.2,2.125
InMnPdOx_post,58.21,2.027
InMnPdOx_post,58.22,1.928
InMnPdOx_post,58.23,1.909
InMnPdOx_post,58.24,1.963
InMnPdOx_post,58.25,1.99
InMnPdOx_post,58.26,1.949
InMnPdOx_post,58.27,1.943
InMnPdOx_post,58.28,1.949
InMnPdOx_post,58.29,1.97
InMnPdOx_post,58.3,1.972
InMnPdOx_post,58.31,1.938
InMnPdOx_post,58.32,1.943
InMnPdOx_post,58.33,1.992
InMnPdOx_post,58.34,2.002
InMnPdOx_post,58.35,2.113
InMnPdOx_post,58.36,2.075
InMnPdOx_post,58.37,2.062
InMnPdOx_post,58.38,1.997
InMnPdOx_post,58.39,2.015
InMnPdOx_post,58.4,2.07
InMnPdOx_post,58.41,2.153
InMnPdOx_post,58.42,2.19
InMnPdOx_post,58.43,2.142
InMnPdOx_post,58.44,2.078
InMnPdOx_post,58.45,2.084
InMnPdOx_post,58.46,2.134
InMnPdOx_post,58.47,2.188
InMnPdOx_post,58.48,2.21
InMnPdOx_post,58.49,2.133
InMnPdOx_post,58.5,2.071
InMnPdOx_post,58.51,2.015
InMnPdOx_post,58.52,2.038
InMnPdOx_post,58.53,2.033
InMnPdOx_post,58.54,2.043
InMnPdOx_post,58.55,1.993
InMnPdOx_post,58.56,1.994
InMnPdOx_post,58.57,2.043
InMnPdOx_post,58.58,2.091
InMnPdOx_post,58.59,1.975
InMnPdOx_post,58.6,1.973
InMnPdOx_post,58.61,2.076
InMnPdOx_post,58.62,2.179
InMnPdOx_post,58.63,2.135
InMnPdOx_post,58.64,2.145
InMnPdOx_post,58.65,2.151
InMnPdOx_post,58.66,2.258
InMnPdOx_post,58.67,2.268
InMnPdOx_post,58.68,2.261
InMnPdOx_post,58.69,2.12
InMnPdOx_post,58.7,2.078
InMnPdOx_post,58.71,2.041
InMnPdOx_post,58.72,2.081
InMnPdOx_post,58.73,2.08
InMnPdOx_post,58.74,2.13
InMnPdOx_post,58.75,2.118
InMnPdOx_post,58.76,2.035
InMnPdOx_post,58.77,2.02
InMnPdOx_post,58.78,2.012
InMnPdOx_post,58.79,2.045
InMnPdOx_post,58.8,2.022
InMnPdOx_post,58.81,2.04
InMnPdOx_post,58.82,2.109
InMnPdOx_post,58.83,2.093
InMnPdOx_post,58.84,1.988
InMnPdOx_post,58.85,1.929
InMnPdOx_post,58.86,2.004
InMnPdOx_post,58.87,2.073
InMnPdOx_post,58.88,2.053
InMnPdOx_post,58.89,2.037
InMnPdOx_post,58.9,2.041
InMnPdOx_post,58.91,2.141
InMnPdOx_post,58.92,2.086
InMnPdOx_post,58.93,2.093
InMnPdOx_post,58.94,2.144
InMnPdOx_post,58.95,2.231
InMnPdOx_post,58.96,2.24
InMnPdOx_post,58.97,2.174
InMnPdOx_post,58.98,2.082
InMnPdOx_post,58.99,2.074
InMnPdOx_post,59.0,2.103
InMnPdOx_post,59.01,2.168
InMnPdOx_post,59.02,2.196
InMnPdOx_post,59.03,2.254
InMnPdOx_post,59.04,2.227
InMnPdOx_post,59.05,2.25
InMnPdOx_post,59.06,2.255
