sample,two_theta,intensity
InMnPdOx_pre,17.74,4.732
InMnPdOx_pre,17.75,4.777
InMnPdOx_pre,17.76,4.893
InMnPdOx_pre,17.77,4.984
InMnPdOx_pre,17.78,4.978
InMnPdOx_pre,17.79,4.91
InMnPdOx_pre,17.8,4.897
InMnPdOx_pre,17.81,4.889
InMnPdOx_pre,17.82,4.909
InMnPdOx_pre,17.83,4.844
InMnPdOx_pre,17.84,4.834
InMnPdOx_pre,17.85,4.708
InMnPdOx_pre,17.86,4.714
InMnPdOx_pre,17.87,4.712
InMnPdOx_pre,17.88,4.977
InMnPdOx_pre,17.89,5.075
InMnPdOx_pre,17.9,5.04
InMnPdOx_pre,17.91,4.806
InMnPdOx_pre,17.92,4.681
InMnPdOx_pre,17.93,4.598
InMnPdOx_pre,17.94,4.632
InMnPdOx_pre,17.95,4.776
InMnPdOx_pre,17.96,4.816
InMnPdOx_pre,17.97,4.83
InMnPdOx_pre,17.98,4.777
InMnPdOx_pre,17.99,4.885
InMnPdOx_pre,18.0,4.922
InMnPdOx_pre,18.01,4.975
InMnPdOx_pre,18.02,4.949
InMnPdOx_pre,18.03,4.938
InMnPdOx_pre,18.04,4.865
InMnPdOx_pre,18.05,4.834
InMnPdOx_pre,18.06,4.792
InMnPdOx_pre,18.07,4.744
InMnPdOx_pre,18.08,4.855
InMnPdOx_pre,18.09,4.908
InMnPdOx_pre,18.1,4.91
InMnPdOx_pre,18.11,4.889
InMnPdOx_pre,18.12,5.055
InMnPdOx_pre,18.13,5.114
InMnPdOx_pre,18.14,4.997
InMnPdOx_pre,18.15,4.872
InMnPdOx_pre,18.16,4.952
InMnPdOx_pre,18.17,5.057
InMnPdOx_pre,18.18,5.034
InMnPdOx_pre,18.19,4.892
InMnPdOx_pre,18.2,4.814
InMnPdOx_pre,18.21,4.901
InMnPdOx_pre,18.22,4.871
InMnPdOx_pre,18.23,4.81
InMnPdOx_pre,18.24,4.816
InMnPdOx_pre,18.25,5.003
InMnPdOx_pre,18.26,5.061
InMnPdOx_pre,18.27,5.079
InMnPdOx_pre,18.28,5.06
InMnPdOx_pre,18.29,5.006
InMnPdOx_pre,18.3,4.897
InMnPdOx_pre,18.31,4.891
InMnPdOx_pre,18.32,4.934
InMnPdOx_pre,18.33,4.968
InMnPdOx_pre,18.34,4.916
InMnPdOx_pre,18.35,4.769
InMnPdOx_pre,18.36,4.755
InMnPdOx_pre,18.37,5.0
InMnPdOx_pre,18.38,5.091
InMnPdOx_pre,18.39,5.005
InMnPdOx_pre,18.4,4.959
InMnPdOx_pre,18.41,4.974
InMnPdOx_pre,18.42,5.011
InMnPdOx_pre,18.43,5.054
InMnPdOx_pre,18.44,5.081
InMnPdOx_pre,18.45,5.055
InMnPdOx_pre,18.46,4.944
InMnPdOx_pre,18.47,4.949
InMnPdOx_pre,18.48,4.931
InMnPdOx_pre,18.49,4.815
InMnPdOx_pre,18.5,4.808
InMnPdOx_pre,18.51,4.938
InMnPdOx_pre,18.52,4.993
InMnPdOx_pre,18.53,4.941
InMnPdOx_pre,18.54,5.058
InMnPdOx_pre,18.55,5.125
InMnPdOx_pre,18.56,5.085
InMnPdOx_pre,18.57,5.038
InMnPdOx_pre,18.58,5.046
InMnPdOx_pre,18.59,5.007
InMnPdOx_pre,18.6,5.061
InMnPdOx_pre,18.61,5.096
InMnPdOx_pre,18.62,5.109
InMnPdOx_pre,18.63,4.948
InMnPdOx_pre,18.64,4.861
InMnPdOx_pre,18.65,4.861
InMnPdOx_pre,18.66,4.911
InMnPdOx_pre,18.67,4.986
InMnPdOx_pre,18.68,4.989
InMnPdOx_pre,18.69,4.998
InMnPdOx_pre,18.7,4.955
InMnPdOx_pre,18.71,4.962
InMnPdOx_pre,18.72,5.01
InMnPdOx_pre,18.73,4.956
InMnPdOx_pre,18.74,4.984
InMnPdOx_pre,18.75,5.019
InMnPdOx_pre,18.76,5.057
InMnPdOx_pre,18.77,5.104
InMnPdOx_pre,18.78,5.079
InMnPdOx_pre,18.79,5.08
InMnPdOx_pre,18.8,5.073
InMnPdOx_pre,18.81,5.038
InMnPdOx_pre,18.82,4.802
InMnPdOx_pre,18.83,4.625
InMnPdOx_pre,18.84,4.93
InMnPdOx_pre,18.85,5.252
InMnPdOx_pre,18.86,5.243
InMnPdOx_pre,18.87,5.095
InMnPdOx_pre,18.88,5.013
InMnPdOx_pre,18.89,5.096
InMnPdOx_pre,18.9,5.085
InMnPdOx_pre,18.91,5.032
InMnPdOx_pre,18.92,5.03
InMnPdOx_pre,18.93,5.105
InMnPdOx_pre,18.94,5.082
InMnPdOx_pre,18.95,5.013
InMnPdOx_pre,18.96,4.998
InMnPdOx_pre,18.97,5.089
InMnPdOx_pre,18.98,5.119
InMnPdOx_pre,18.99,5.041
