seed,step,found
7,51,False
4,51,False
1,51,False
3,51,False
8,51,False
6,46,True
9,51,False
2,51,False
5,46,True
0,51,False
12,51,False
15,51,False
17,46,True
19,51,False
10,47,True
13,51,False
18,48,True
14,51,False
11,51,False
16,51,False
